--------- beginning of system
--------- beginning of crash
--------- beginning of main
02-24 20:21:44.682 14817 14880 W JankStats: JANK: 742ms | states: []
02-24 20:21:45.479 14817 14880 W JankStats: JANK: 484ms | states: []
02-24 20:21:45.637 14817 14880 W JankStats: JANK: 392ms | states: []
02-24 20:21:45.757 14817 14880 W JankStats: JANK: 320ms | states: [Screen: home]
02-24 20:21:45.829 14817 14880 W JankStats: JANK: 44ms | states: [Screen: home]
02-24 20:21:45.841 14817 14880 W JankStats: JANK: 54ms | states: [Screen: home]
02-24 20:21:45.868 14817 14880 W JankStats: JANK: 56ms | states: [Screen: home]
02-24 20:21:45.928 14817 14880 W JankStats: JANK: 49ms | states: [Screen: home]
02-24 20:21:45.953 14817 14880 W JankStats: JANK: 74ms | states: [Screen: home]
02-24 20:21:45.986 14817 14880 W JankStats: JANK: 40ms | states: [Screen: home]
02-24 20:21:46.836 14817 14880 W JankStats: JANK: 710ms | states: [Screen: home]
02-24 20:21:46.889 14817 14880 W JankStats: JANK: 75ms | states: [Screen: home]
02-24 20:21:47.028 14817 14880 W JankStats: JANK: 33ms | states: [Screen: home]
02-24 20:21:47.071 14817 14880 W JankStats: JANK: 138ms | states: [Screen: home]
02-24 20:21:47.424 14817 14880 W JankStats: JANK: 323ms | states: [Screen: home]
02-24 20:21:47.486 14817 14880 W JankStats: JANK: 371ms | states: [Screen: home]
02-24 20:21:47.518 14817 14880 W JankStats: JANK: 52ms | states: [Screen: home]
02-24 20:21:48.329 14817 14880 W JankStats: JANK: 93ms | states: [Screen: home]
02-24 20:21:48.347 14817 14880 W JankStats: JANK: 79ms | states: [Screen: home]
02-24 20:21:49.108 14817 14880 W JankStats: JANK: 189ms | states: [Screen: home]
02-24 20:21:49.141 14817 14880 W JankStats: JANK: 190ms | states: [Screen: home]
02-24 20:21:49.174 14817 14880 W JankStats: JANK: 40ms | states: [Screen: home]
02-24 20:21:49.374 14817 14880 W JankStats: JANK: 202ms | states: [Screen: home]
02-24 20:21:49.436 14817 14880 W JankStats: JANK: 233ms | states: [Screen: home]
02-24 20:21:49.483 14817 14880 W JankStats: JANK: 81ms | states: [Screen: home]
02-24 20:21:49.663 14817 14880 W JankStats: JANK: 193ms | states: [Screen: home]
02-24 20:21:49.692 14817 14880 W JankStats: JANK: 175ms | states: [Screen: home]
02-24 20:21:49.873 14817 14880 W JankStats: JANK: 136ms | states: [Screen: home]
02-24 20:21:49.962 14817 14880 W JankStats: JANK: 91ms | states: [Screen: home]
02-24 20:21:49.988 14817 14880 W JankStats: JANK: 87ms | states: [Screen: home]
02-24 20:21:50.150 14817 14880 W JankStats: JANK: 97ms | states: [Screen: home]
02-24 20:22:31.695 14817 14880 W JankStats: JANK: 46ms | states: [Screen: home]
02-24 20:22:31.715 14817 14880 W JankStats: JANK: 52ms | states: [Screen: home]
02-24 20:22:31.748 14817 14880 W JankStats: JANK: 48ms | states: [Screen: home]
02-24 20:22:31.848 14817 14880 W JankStats: JANK: 55ms | states: [Screen: home]
02-24 20:22:31.887 14817 14880 W JankStats: JANK: 60ms | states: [Screen: home]
02-24 20:22:31.910 14817 14880 W JankStats: JANK: 33ms | states: [Screen: home]
02-24 20:22:32.291 14817 14880 W JankStats: JANK: 63ms | states: [Screen: home]
02-24 20:22:32.360 14817 14880 W JankStats: JANK: 83ms | states: [Screen: home]
02-24 20:22:32.446 14817 14880 W JankStats: JANK: 118ms | states: [Screen: home]
02-24 20:22:32.526 14817 14880 W JankStats: JANK: 115ms | states: [Screen: home]
02-24 20:22:32.589 14817 14880 W JankStats: JANK: 111ms | states: [Screen: home]
02-24 20:22:32.613 14817 14880 W JankStats: JANK: 51ms | states: [Screen: home]
02-24 20:22:32.861 14817 14880 W JankStats: JANK: 48ms | states: [Screen: home]
02-24 20:22:32.901 14817 14880 W JankStats: JANK: 73ms | states: [Screen: home]
02-24 20:22:33.251 14817 14880 W JankStats: JANK: 39ms | states: [Screen: home]
02-24 20:22:33.295 14817 14880 W JankStats: JANK: 50ms | states: [Screen: home]
02-24 20:22:33.367 14817 14880 W JankStats: JANK: 71ms | states: [Screen: home]
02-24 20:22:33.430 14817 14880 W JankStats: JANK: 101ms | states: [Screen: home]
02-24 20:22:33.493 14817 14880 W JankStats: JANK: 97ms | states: [Screen: home]
02-24 20:22:33.555 14817 14880 W JankStats: JANK: 94ms | states: [Screen: home]
02-24 20:22:33.588 14817 14880 W JankStats: JANK: 57ms | states: [Screen: home]
02-24 20:22:33.952 14817 14880 W JankStats: JANK: 40ms | states: [Screen: home]
02-24 20:22:33.983 14817 14880 W JankStats: JANK: 54ms | states: [Screen: home]
02-24 20:22:34.762 14817 14880 W JankStats: JANK: 49ms | states: [Screen: home]
02-24 20:22:34.792 14817 14880 W JankStats: JANK: 45ms | states: [Screen: home]
02-24 20:22:34.849 14817 14880 W JankStats: JANK: 51ms | states: [Screen: home]
02-24 20:22:34.911 14817 14880 W JankStats: JANK: 78ms | states: [Screen: home]
02-24 20:22:34.977 14817 14880 W JankStats: JANK: 95ms | states: [Screen: home]
02-24 20:22:35.051 14817 14880 W JankStats: JANK: 103ms | states: [Screen: home]
02-24 20:22:35.135 14817 14880 W JankStats: JANK: 102ms | states: [Screen: home]
02-24 20:22:35.197 14817 14880 W JankStats: JANK: 117ms | states: [Screen: home]
02-24 20:22:35.287 14817 14880 W JankStats: JANK: 105ms | states: [Screen: home]
02-24 20:22:35.374 14817 14880 W JankStats: JANK: 111ms | states: [Screen: home]
02-24 20:22:35.454 14817 14880 W JankStats: JANK: 140ms | states: [Screen: home]
02-24 20:22:35.519 14817 14880 W JankStats: JANK: 102ms | states: [Screen: home]
02-24 20:22:35.594 14817 14880 W JankStats: JANK: 93ms | states: [Screen: home]
02-24 20:22:35.674 14817 14880 W JankStats: JANK: 126ms | states: [Screen: home]
02-24 20:22:35.750 14817 14880 W JankStats: JANK: 101ms | states: [Screen: home]
02-24 20:22:35.823 14817 14880 W JankStats: JANK: 109ms | states: [Screen: home]
02-24 20:22:35.863 14817 14880 W JankStats: JANK: 65ms | states: [Screen: home]
02-24 20:22:35.889 14817 14880 W JankStats: JANK: 42ms | states: [Screen: home]
02-24 20:22:36.687 14817 14880 W JankStats: JANK: 39ms | states: [Screen: home]
02-24 20:22:36.733 14817 14880 W JankStats: JANK: 51ms | states: [Screen: home]
02-24 20:22:36.764 14817 14880 W JankStats: JANK: 47ms | states: [Screen: home]
02-24 20:22:36.824 14817 14880 W JankStats: JANK: 59ms | states: [Screen: home]
02-24 20:22:36.878 14817 14880 W JankStats: JANK: 79ms | states: [Screen: home]
02-24 20:22:36.941 14817 14880 W JankStats: JANK: 92ms | states: [Screen: home]
02-24 20:22:37.001 14817 14880 W JankStats: JANK: 84ms | states: [Screen: home]
02-24 20:22:37.061 14817 14880 W JankStats: JANK: 79ms | states: [Screen: home]
02-24 20:22:37.129 14817 14880 W JankStats: JANK: 78ms | states: [Screen: home]
02-24 20:22:37.203 14817 14880 W JankStats: JANK: 100ms | states: [Screen: home]
02-24 20:22:37.250 14817 14880 W JankStats: JANK: 84ms | states: [Screen: home]
02-24 20:22:37.296 14817 14880 W JankStats: JANK: 64ms | states: [Screen: home]
02-24 20:22:37.340 14817 14880 W JankStats: JANK: 58ms | states: [Screen: home]
02-24 20:22:37.378 14817 14880 W JankStats: JANK: 62ms | states: [Screen: home]
02-24 20:22:37.437 14817 14880 W JankStats: JANK: 70ms | states: [Screen: home]
02-24 20:22:37.486 14817 14880 W JankStats: JANK: 70ms | states: [Screen: home]
02-24 20:22:37.523 14817 14880 W JankStats: JANK: 58ms | states: [Screen: home]
02-24 20:22:37.785 14817 14880 W JankStats: JANK: 85ms | states: [Screen: home]
02-24 20:22:37.804 14817 14880 W JankStats: JANK: 87ms | states: [Screen: home]
02-24 20:22:37.896 14817 14880 W JankStats: JANK: 64ms | states: [Screen: home]
02-24 20:22:37.977 14817 14880 W JankStats: JANK: 43ms | states: [Screen: home]
02-24 20:22:37.992 14817 14880 W JankStats: JANK: 41ms | states: [Screen: home]
02-24 20:22:38.158 14817 14880 W JankStats: JANK: 125ms | states: [Screen: home]
02-24 20:22:38.189 14817 14880 W JankStats: JANK: 140ms | states: [Screen: home]
02-24 20:22:38.267 14817 14880 W JankStats: JANK: 47ms | states: [Screen: home]
02-24 20:22:38.356 14817 14880 W JankStats: JANK: 86ms | states: [Screen: home]
02-24 20:22:38.385 14817 14880 W JankStats: JANK: 101ms | states: [Screen: home]
02-24 20:22:39.020 14817 14880 W JankStats: JANK: 36ms | states: [Screen: home]
02-24 20:22:39.035 14817 14880 W JankStats: JANK: 34ms | states: [Screen: home]
02-24 20:22:39.347 14817 14880 W JankStats: JANK: 45ms | states: [Screen: home]
02-24 20:22:39.372 14817 14880 W JankStats: JANK: 37ms | states: [Screen: home]
02-24 20:22:39.726 14817 14880 W JankStats: JANK: 41ms | states: [Screen: home]
